Stime,srcip,sport,dstip,dsport,proto,service,dur,sbytes,dbytes,state,Spkts,Dpkts,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_src_ltm,sttl,dttl,trans_depth,res_bdy_len,ct_flw_http_mthd,smeansz,dmeansz,swin,dwin,stcpb,dtcpb,attack_cat,Label
1591890635,10.0.2.15,58952,10.0.2.4,199,tcp,-,0.000006,0,0,REJ,1,1,0,29,29,0,0,29,29,29,64,64,0,0,0,60,40,29200,0,4130379746,0,Exploits ,1
1591890635,10.0.2.15,43754,10.0.2.4,3814,tcp,-,0.000017,0,0,REJ,1,1,0,30,30,0,0,30,30,30,64,64,0,0,0,60,40,29200,0,1512316817,0,Exploits ,1
1591890635,10.0.2.15,46652,10.0.2.4,2393,tcp,-,0.000013,0,0,REJ,1,1,0,31,31,0,0,31,31,31,64,64,0,0,0,60,40,29200,0,3567247010,0,Exploits ,1
1591890635,10.0.2.15,34486,10.0.2.4,10024,tcp,-,0.00001,0,0,REJ,1,1,0,32,32,0,0,32,32,32,64,64,0,0,0,60,40,29200,0,3138554986,0,Exploits ,1
1591890635,10.0.2.15,35106,10.0.2.4,56738,tcp,-,0.000006,0,0,REJ,1,1,0,33,33,0,0,33,33,33,64,64,0,0,0,60,40,29200,0,307453297,0,Exploits ,1
1591890635,10.0.2.15,34694,10.0.2.4,1093,tcp,-,0.000005,0,0,REJ,1,1,0,34,34,0,0,34,34,34,64,64,0,0,0,60,40,29200,0,435317629,0,Exploits ,1
1591890635,10.0.2.15,35374,10.0.2.4,32776,tcp,-,0.000005,0,0,REJ,1,1,0,35,35,0,0,35,35,35,64,64,0,0,0,60,40,29200,0,3444489108,0,Exploits ,1
1591890635,10.0.2.15,53520,10.0.2.4,3986,tcp,-,0.00003,0,0,REJ,1,1,0,36,36,0,0,36,36,36,64,64,0,0,0,60,40,29200,0,901633908,0,Exploits ,1
1591890635,10.0.2.15,38814,10.0.2.4,32785,tcp,-,0.000006,0,0,REJ,1,1,0,37,37,0,0,37,37,37,64,64,0,0,0,60,40,29200,0,3867849483,0,Exploits ,1
1591890635,10.0.2.15,42758,10.0.2.4,254,tcp,-,0.000011,0,0,REJ,1,1,0,38,38,0,0,38,38,38,64,64,0,0,0,60,40,29200,0,3956495789,0,Exploits ,1
1591890635,10.0.2.15,50558,10.0.2.4,6025,tcp,-,0.000022,0,0,REJ,1,1,0,39,39,0,0,39,39,39,64,64,0,0,0,60,40,29200,0,714330746,0,Exploits ,1
1591890635,10.0.2.15,60312,10.0.2.4,2038,tcp,-,0.00001,0,0,REJ,1,1,0,40,40,0,0,40,40,40,64,64,0,0,0,60,40,29200,0,3141165380,0,Exploits ,1
1591890635,10.0.2.15,40978,10.0.2.4,2383,tcp,-,0.000011,0,0,REJ,1,1,0,41,41,0,0,41,41,41,64,64,0,0,0,60,40,29200,0,2219217476,0,Exploits ,1
1591890635,10.0.2.15,39878,10.0.2.4,2811,tcp,-,0.000025,0,0,REJ,1,1,0,42,42,0,0,42,42,42,64,64,0,0,0,60,40,29200,0,1179147593,0,Exploits ,1
1591890635,10.0.2.15,54012,10.0.2.4,999,tcp,-,0.000011,0,0,REJ,1,1,0,43,43,0,0,43,43,43,64,64,0,0,0,60,40,29200,0,144974580,0,Exploits ,1
1591890635,10.0.2.15,35178,10.0.2.4,7103,tcp,-,0.00001,0,0,REJ,1,1,0,44,44,0,0,44,44,44,64,64,0,0,0,60,40,29200,0,3752385678,0,Exploits ,1
1591890635,10.0.2.15,36700,10.0.2.4,5009,tcp,-,0.000009,0,0,REJ,1,1,0,45,45,0,0,45,45,45,64,64,0,0,0,60,40,29200,0,87548947,0,Exploits ,1
1591890635,10.0.2.15,48608,10.0.2.4,1051,tcp,-,0.000019,0,0,REJ,1,1,0,46,46,0,0,46,46,46,64,64,0,0,0,60,40,29200,0,4025544388,0,Exploits ,1
1591890635,10.0.2.15,49464,10.0.2.4,82,tcp,-,0.00003,0,0,REJ,1,1,0,47,47,0,0,47,47,47,64,64,0,0,0,60,40,29200,0,325655197,0,Exploits ,1
1591890635,10.0.2.15,34452,10.0.2.4,544,tcp,-,0.000013,0,0,REJ,1,1,0,48,48,0,0,48,48,48,64,64,0,0,0,60,40,29200,0,2851109535,0,Exploits ,1
1591890635,10.0.2.15,45250,10.0.2.4,12174,tcp,-,0.000011,0,0,REJ,1,1,0,49,49,0,0,49,49,49,64,64,0,0,0,60,40,29200,0,1017116049,0,Exploits ,1
1591890635,10.0.2.15,43816,10.0.2.4,54045,tcp,-,0.000025,0,0,REJ,1,1,0,50,50,0,0,50,50,50,64,64,0,0,0,60,40,29200,0,1906695496,0,Exploits ,1
1591890635,10.0.2.15,39266,10.0.2.4,10626,tcp,-,0.000023,0,0,REJ,1,1,0,51,51,0,0,51,51,51,64,64,0,0,0,60,40,29200,0,491052340,0,Exploits ,1
1591890635,10.0.2.15,57408,10.0.2.4,3372,tcp,-,0.000023,0,0,REJ,1,1,0,52,52,0,0,52,52,52,64,64,0,0,0,60,40,29200,0,207291109,0,Exploits ,1
