Stime,srcip,sport,dstip,dsport,proto,service,dur,sbytes,dbytes,state,Spkts,Dpkts,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_src_ltm,sttl,dttl,trans_depth,res_len,ct_flw_http_mthd,smeansz,dmeansz,swin,dwin,stcpb,dtcpb,Label,attack_cat
1591893368,10.0.2.15,54080,10.0.2.4,80,tcp,-,0.000612,132,493,SF,3,2,0,0,0,0,0,0,0,0,64,64,0,0,0,88,298,76,235,1823897061,155298308,1,Ddos
1591893368,10.0.2.15,54116,10.0.2.4,80,tcp,-,0.000523,133,493,SF,3,2,0,1,1,1,0,1,1,1,64,64,0,0,0,88,298,76,235,1395878875,1048952660,1,Ddos
1591893368,10.0.2.15,54118,10.0.2.4,80,tcp,-,0.000442,132,493,SF,3,2,0,2,2,2,0,2,2,2,64,64,0,0,0,88,298,76,235,213999255,2173551892,1,Ddos
1591893369,10.0.2.15,54062,10.0.2.4,80,tcp,-,20.289941,0,493,SF,4,3,0,3,3,3,0,3,3,3,64,64,0,0,0,79,219,114,9810,95431957,2345120791,1,Ddos
1591893369,10.0.2.15,54082,10.0.2.4,80,tcp,-,0.000612,132,493,SF,3,2,0,4,4,4,0,4,4,4,64,64,0,0,0,88,298,76,235,352134760,4280192472,1,Ddos
1591893369,10.0.2.15,54084,10.0.2.4,80,tcp,-,0.000524,131,493,SF,3,2,0,5,5,5,0,5,5,5,64,64,0,0,0,87,298,76,235,2659673522,3804922680,1,Ddos
1591893370,10.0.2.15,54066,10.0.2.4,80,tcp,-,20.318744,0,493,SF,4,3,0,6,6,6,0,6,6,6,64,64,0,0,0,79,219,114,9810,313983069,3355339854,1,Ddos
1591893370,10.0.2.15,54064,10.0.2.4,80,tcp,-,20.318612,0,493,SF,4,3,0,7,7,7,0,7,7,7,64,64,0,0,0,79,219,114,9810,533550621,3319920468,1,Ddos
1591893371,10.0.2.15,54070,10.0.2.4,80,tcp,-,20.342516,0,493,SF,4,3,0,8,8,8,0,8,8,8,64,64,0,0,0,79,219,114,9810,3171738331,2687877876,1,Ddos
1591893371,10.0.2.15,54068,10.0.2.4,80,tcp,-,20.342152,0,493,SF,4,3,0,9,9,9,0,9,9,9,64,64,0,0,0,79,219,114,9810,3461910880,292793460,1,Ddos
