Stime,srcip,sport,dstip,dsport,proto,service,dur,sbytes,dbytes,state,Spkts,Dpkts,is_sm_ips_ports,ct_srv_src,ct_srv_dst,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_dst_ltm,ct_src_ltm,sttl,dttl,trans_depth,res_len,ct_flw_http_mthd,smeansz,dmeansz,swin,dwin,stcpb,dtcpb
1593625700.026378,10.0.2.15,55724,10.0.2.5,3391,tcp,-,0.000013,0,0,REJ,1,1,0,31,31,0,0,31,31,31,64,64,0,0,0,60,40,29200.0,0,4240089565,0
1593625700.026409,10.0.2.15,41062,10.0.2.5,2542,tcp,-,0.000013,0,0,REJ,1,1,0,32,32,0,0,32,32,32,64,64,0,0,0,60,40,29200.0,0,1183207141,0
1593625700.026432,10.0.2.15,32914,10.0.2.5,3135,tcp,-,0.000007,0,0,REJ,1,1,0,33,33,0,0,33,33,33,64,64,0,0,0,60,40,29200.0,0,4221440334,0
1593625700.026445,10.0.2.15,48322,10.0.2.5,8199,tcp,-,0.000004,0,0,REJ,1,1,0,34,34,0,0,34,34,34,64,64,0,0,0,60,40,29200.0,0,1443497257,0
1593625700.026456,10.0.2.15,60496,10.0.2.5,4305,tcp,-,0.000005,0,0,REJ,1,1,0,35,35,0,0,35,35,35,64,64,0,0,0,60,40,29200.0,0,477413340,0
1593625700.0264971,10.0.2.15,48272,10.0.2.5,3161,tcp,-,0.000007,0,0,REJ,1,1,0,36,36,0,0,36,36,36,64,64,0,0,0,60,40,29200.0,0,3421192767,0
1593625700.026526,10.0.2.15,46398,10.0.2.5,1693,tcp,-,0.000018,0,0,REJ,1,1,0,37,37,0,0,37,37,37,64,64,0,0,0,60,40,29200.0,0,3857912072,0
1593625700.0265481,10.0.2.15,60312,10.0.2.5,2705,tcp,-,0.000024,0,0,REJ,1,1,0,38,38,0,0,38,38,38,64,64,0,0,0,60,40,29200.0,0,2745092588,0
1593625700.026651,10.0.2.15,54710,10.0.2.5,1424,tcp,-,0.000009,0,0,REJ,1,1,0,39,39,0,0,39,39,39,64,64,0,0,0,60,40,29200.0,0,2159556867,0
1593625700.02668,10.0.2.15,35806,10.0.2.5,4870,tcp,-,0.000017,0,0,REJ,1,1,0,40,40,0,0,40,40,40,64,64,0,0,0,60,40,29200.0,0,3391038020,0
1593625700.026971,10.0.2.15,34566,10.0.2.5,1278,tcp,-,0.000007,0,0,REJ,1,1,0,41,41,0,0,41,41,41,64,64,0,0,0,60,40,29200.0,0,2414483711,0
1593625700.026986,10.0.2.15,49626,10.0.2.5,1742,tcp,-,0.000004,0,0,REJ,1,1,0,42,42,0,0,42,42,42,64,64,0,0,0,60,40,29200.0,0,3439866631,0
1593625700.0269961,10.0.2.15,54046,10.0.2.5,3031,tcp,-,0.000004,0,0,REJ,1,1,0,43,43,0,0,43,43,43,64,64,0,0,0,60,40,29200.0,0,2132883666,0
1593625700.027226,10.0.2.15,52340,10.0.2.5,2544,tcp,-,0.000026,0,0,REJ,1,1,0,44,44,0,0,44,44,44,64,64,0,0,0,60,40,29200.0,0,266908329,0
1593625700.02728,10.0.2.15,52788,10.0.2.5,2068,tcp,-,0.000006,0,0,REJ,1,1,0,45,45,0,0,45,45,45,64,64,0,0,0,60,40,29200.0,0,2283262606,0
1593625700.0272949,10.0.2.15,47856,10.0.2.5,2150,tcp,-,0.000004,0,0,REJ,1,1,0,46,46,0,0,46,46,46,64,64,0,0,0,60,40,29200.0,0,2554746009,0
1593625700.027306,10.0.2.15,58356,10.0.2.5,2111,tcp,-,0.000004,0,0,REJ,1,1,0,47,47,0,0,47,47,47,64,64,0,0,0,60,40,29200.0,0,3347962177,0
1593625700.027316,10.0.2.15,44760,10.0.2.5,16384,tcp,-,0.000004,0,0,REJ,1,1,0,48,48,0,0,48,48,48,64,64,0,0,0,60,40,29200.0,0,2391356837,0
1593625700.0273368,10.0.2.15,53794,10.0.2.5,4751,tcp,-,0.000004,0,0,REJ,1,1,0,49,49,0,0,49,49,49,64,64,0,0,0,60,40,29200.0,0,2941225711,0
1593625700.027345,10.0.2.15,54552,10.0.2.5,8403,tcp,-,0.000004,0,0,REJ,1,1,0,50,50,0,0,50,50,50,64,64,0,0,0,60,40,29200.0,0,4187996774,0
1593625700.027663,10.0.2.15,56158,10.0.2.5,1708,tcp,-,0.000016,0,0,REJ,1,1,0,51,51,0,0,51,51,51,64,64,0,0,0,60,40,29200.0,0,4175116559,0
1593625700.027707,10.0.2.15,46214,10.0.2.5,4347,tcp,-,0.000005,0,0,REJ,1,1,0,52,52,0,0,52,52,52,64,64,0,0,0,60,40,29200.0,0,666561587,0
1593625700.027718,10.0.2.15,37344,10.0.2.5,5718,tcp,-,0.000004,0,0,REJ,1,1,0,53,53,0,0,53,53,53,64,64,0,0,0,60,40,29200.0,0,110438696,0
1593625700.027727,10.0.2.15,35028,10.0.2.5,4371,tcp,-,0.000004,0,0,REJ,1,1,0,54,54,0,0,54,54,54,64,64,0,0,0,60,40,29200.0,0,3724204975,0
1593625700.027737,10.0.2.15,50554,10.0.2.5,1107,tcp,-,0.000004,0,0,REJ,1,1,0,55,55,0,0,55,55,55,64,64,0,0,0,60,40,29200.0,0,2262780571,0
1593625700.0277462,10.0.2.15,46952,10.0.2.5,16001,tcp,-,0.000016,0,0,REJ,1,1,0,56,56,0,0,56,56,56,64,64,0,0,0,60,40,29200.0,0,1408384166,0
1593625700.027767,10.0.2.15,48140,10.0.2.5,1050,tcp,-,0.000003,0,0,REJ,1,1,0,57,57,0,0,57,57,57,64,64,0,0,0,60,40,29200.0,0,3297232478,0
1593625700.027774,10.0.2.15,35028,10.0.2.5,3240,tcp,-,0.000004,0,0,REJ,1,1,0,58,58,0,1,58,58,58,64,64,0,0,0,60,40,29200.0,0,18287397,0
1593625700.027782,10.0.2.15,51698,10.0.2.5,660,tcp,-,0.000004,0,0,REJ,1,1,0,59,59,0,0,59,59,59,64,64,0,0,0,60,40,29200.0,0,2000325483,0
1593625700.02786,10.0.2.15,60388,10.0.2.5,409,tcp,-,0.000008,0,0,REJ,1,1,0,60,60,0,0,60,60,60,64,64,0,0,0,60,40,29200.0,0,2462250535,0
1593625700.0279028,10.0.2.15,58064,10.0.2.5,10128,tcp,-,0.000005,0,0,REJ,1,1,0,61,61,0,0,61,61,61,64,64,0,0,0,60,40,29200.0,0,3869877059,0
1593625700.028007,10.0.2.15,37914,10.0.2.5,41,tcp,-,0.000008,0,0,REJ,1,1,0,62,62,0,0,62,62,62,64,64,0,0,0,60,40,29200.0,0,3658886748,0
1593625700.028035,10.0.2.15,35602,10.0.2.5,1075,tcp,-,0.000005,0,0,REJ,1,1,0,63,63,0,0,63,63,63,64,64,0,0,0,60,40,29200.0,0,2418563228,0
1593625700.028156,10.0.2.15,55270,10.0.2.5,3415,tcp,-,0.000008,0,0,REJ,1,1,0,64,64,0,0,64,64,64,64,64,0,0,0,60,40,29200.0,0,1056032319,0
1593625700.028261,10.0.2.15,37594,10.0.2.5,2140,tcp,-,0.000029,0,0,REJ,1,1,0,65,65,0,0,65,65,65,64,64,0,0,0,60,40,29200.0,0,1855786026,0
1593625700.028394,10.0.2.15,42720,10.0.2.5,6320,tcp,-,0.000007,0,0,REJ,1,1,0,66,66,0,0,66,66,66,64,64,0,0,0,60,40,29200.0,0,4103334402,0
1593625700.028773,10.0.2.15,48450,10.0.2.5,3872,tcp,-,0.000018,0,0,REJ,1,1,0,67,67,0,0,67,67,67,64,64,0,0,0,60,40,29200.0,0,1941086205,0
1593625700.028802,10.0.2.15,57350,10.0.2.5,2516,tcp,-,0.000011,0,0,REJ,1,1,0,68,68,0,0,68,68,68,64,64,0,0,0,60,40,29200.0,0,867116205,0
1593625700.028826,10.0.2.15,58878,10.0.2.5,3422,tcp,-,0.000008,0,0,REJ,1,1,0,69,69,0,0,69,69,69,64,64,0,0,0,60,40,29200.0,0,3022504094,0
1593625700.028841,10.0.2.15,46872,10.0.2.5,2668,tcp,-,0.000005,0,0,REJ,1,1,0,70,70,0,0,70,70,70,64,64,0,0,0,60,40,29200.0,0,2835248616,0
1593625700.028852,10.0.2.15,56012,10.0.2.5,4112,tcp,-,0.000004,0,0,REJ,1,1,0,71,71,0,0,71,71,71,64,64,0,0,0,60,40,29200.0,0,1791887860,0
1593625700.028862,10.0.2.15,39910,10.0.2.5,3713,tcp,-,0.000004,0,0,REJ,1,1,0,72,72,0,0,72,72,72,64,64,0,0,0,60,40,29200.0,0,2334575781,0
1593625700.028872,10.0.2.15,59732,10.0.2.5,426,tcp,-,0.000004,0,0,REJ,1,1,0,73,73,0,0,73,73,73,64,64,0,0,0,60,40,29200.0,0,2340419843,0
1593625700.028881,10.0.2.15,47184,10.0.2.5,4350,tcp,-,0.000005,0,0,REJ,1,1,0,74,74,0,0,74,74,74,64,64,0,0,0,60,40,29200.0,0,3434316348,0
1593625700.029067,10.0.2.15,35570,10.0.2.5,2350,tcp,-,0.000011,0,0,REJ,1,1,0,75,75,0,0,75,75,75,64,64,0,0,0,60,40,29200.0,0,2135945672,0
1593625700.0291018,10.0.2.15,34146,10.0.2.5,2081,tcp,-,0.000027,0,0,REJ,1,1,0,76,76,0,0,76,76,76,64,64,0,0,0,60,40,29200.0,0,3591391483,0
1593625700.0292552,10.0.2.15,41160,10.0.2.5,3719,tcp,-,0.000035,0,0,REJ,1,1,0,77,77,0,0,77,77,77,64,64,0,0,0,60,40,29200.0,0,599266806,0
1593625700.029301,10.0.2.15,40750,10.0.2.5,1143,tcp,-,0.000012,0,0,REJ,1,1,0,78,78,0,0,78,78,78,64,64,0,0,0,60,40,29200.0,0,711456962,0
1593625700.029327,10.0.2.15,49714,10.0.2.5,2399,tcp,-,0.000014,0,0,REJ,1,1,0,79,79,0,0,79,79,79,64,64,0,0,0,60,40,29200.0,0,2092582900,0
1593625700.029351,10.0.2.15,41970,10.0.2.5,2298,tcp,-,0.000007,0,0,REJ,1,1,0,80,80,0,0,80,80,80,64,64,0,0,0,60,40,29200.0,0,2594076385,0
1593625700.0294368,10.0.2.15,44460,10.0.2.5,679,tcp,-,0.000010,0,0,REJ,1,1,0,81,81,0,0,81,81,81,64,64,0,0,0,60,40,29200.0,0,923112516,0
1593625700.029571,10.0.2.15,50724,10.0.2.5,2712,tcp,-,0.000010,0,0,REJ,1,1,0,82,82,0,0,82,82,82,64,64,0,0,0,60,40,29200.0,0,3890855387,0
1593625700.029591,10.0.2.15,45300,10.0.2.5,3034,tcp,-,0.000043,0,0,REJ,1,1,0,83,83,0,0,83,83,83,64,64,0,0,0,60,40,29200.0,0,3720086579,0
1593625700.0297198,10.0.2.15,41666,10.0.2.5,9592,tcp,-,0.000030,0,0,REJ,1,1,0,84,84,0,0,84,84,84,64,64,0,0,0,60,40,29200.0,0,2166883977,0
1593625700.029759,10.0.2.15,42590,10.0.2.5,1775,tcp,-,0.000027,0,0,REJ,1,1,0,85,85,0,0,85,85,85,64,64,0,0,0,60,40,29200.0,0,2113338633,0
1593625700.0298061,10.0.2.15,47242,10.0.2.5,428,tcp,-,0.000006,0,0,REJ,1,1,0,86,86,0,0,86,86,86,64,64,0,0,0,60,40,29200.0,0,1650557062,0
1593625700.029889,10.0.2.15,39946,10.0.2.5,586,tcp,-,0.000026,0,0,REJ,1,1,0,87,87,0,0,87,87,87,64,64,0,0,0,60,40,29200.0,0,182615711,0
1593625700.029943,10.0.2.15,51318,10.0.2.5,593,tcp,-,0.000035,0,0,REJ,1,1,0,88,88,0,0,88,88,88,64,64,0,0,0,60,40,29200.0,0,3984687092,0
1593625700.030081,10.0.2.15,47726,10.0.2.5,9300,tcp,-,0.000010,0,0,REJ,1,1,0,89,89,0,0,89,89,89,64,64,0,0,0,60,40,29200.0,0,3090775614,0
1593625700.030096,10.0.2.15,49840,10.0.2.5,214,tcp,-,0.000004,0,0,REJ,1,1,0,90,90,0,0,90,90,90,64,64,0,0,0,60,40,29200.0,0,3651021738,0
1593625700.030673,10.0.2.15,45932,10.0.2.5,1838,tcp,-,0.000015,0,0,REJ,1,1,0,91,91,0,0,91,91,91,64,64,0,0,0,60,40,29200.0,0,2537789073,0
1593625700.030697,10.0.2.15,42492,10.0.2.5,9800,tcp,-,0.000005,0,0,REJ,1,1,0,92,92,0,0,92,92,92,64,64,0,0,0,60,40,29200.0,0,2220160302,0
1593625700.0307071,10.0.2.15,46506,10.0.2.5,496,tcp,-,0.000017,0,0,REJ,1,1,0,93,93,0,0,93,93,93,64,64,0,0,0,60,40,29200.0,0,3454137807,0
1593625700.0307288,10.0.2.15,42762,10.0.2.5,44,tcp,-,0.000022,0,0,REJ,1,1,0,94,94,0,0,94,94,94,64,64,0,0,0,60,40,29200.0,0,2253242988,0
1593625700.030755,10.0.2.15,55010,10.0.2.5,418,tcp,-,0.000004,0,0,REJ,1,1,0,95,95,0,0,95,95,95,64,64,0,0,0,60,40,29200.0,0,767718965,0
1593625700.030824,10.0.2.15,40176,10.0.2.5,1486,tcp,-,0.000008,0,0,REJ,1,1,0,96,96,0,0,96,96,96,64,64,0,0,0,60,40,29200.0,0,2032775065,0
1593625700.03084,10.0.2.15,44356,10.0.2.5,3242,tcp,-,0.000004,0,0,REJ,1,1,0,97,97,0,0,97,97,97,64,64,0,0,0,60,40,29200.0,0,1738158020,0
1593625700.03085,10.0.2.15,43018,10.0.2.5,19540,tcp,-,0.000004,0,0,REJ,1,1,0,98,98,0,0,98,98,98,64,64,0,0,0,60,40,29200.0,0,1427557010,0
1593625700.03086,10.0.2.15,49318,10.0.2.5,1961,tcp,-,0.000004,0,0,REJ,1,1,0,99,99,0,0,99,99,99,64,64,0,0,0,60,40,29200.0,0,3046656806,0
1593625700.031026,10.0.2.15,39838,10.0.2.5,6222,tcp,-,0.000023,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,3894408411,0
1593625700.031076,10.0.2.15,58788,10.0.2.5,1881,tcp,-,0.000004,0,0,REJ,1,1,0,100,100,0,0,100,100,100,64,64,0,0,0,60,40,29200.0,0,3995521717,0
