ts,uid,id_orig_h,id_orig_p,id_resp_h,id_resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
1590507212,CvUofw2uz6uGzp7HMj,192.168.0.108,34382,172.217.24.2,443,tcp,-,0.085951,39,39,OTH,-,-,0,DadA,2,143,2,143,
1590507212,CJ12Bg1aUmdhGSdLBg,192.168.0.108,48344,157.140.2.32,80,tcp,-,5.639874,0,0,SF,-,-,0,ShAFfa,4,216,3,164,
1590507212,CTy4vF2J1L9cvhPLnj,192.168.0.108,48346,157.140.2.32,80,tcp,-,5.632566,0,0,SF,-,-,0,ShAFfa,4,216,3,164,
1590507212,C0LwOkSZC0Js60L26,192.168.0.108,48348,157.140.2.32,80,tcp,-,5.625469,0,0,SF,-,-,0,ShAFfa,4,216,3,164,
1590507213,Cqyi072bgotkAogGP4,192.168.0.108,46960,172.217.160.97,443,tcp,-,0.006849,39,39,OTH,-,-,0,DdA,2,143,1,91,
1590507214,C0ioul478p7MQehOX2,192.168.0.108,68,192.168.0.1,67,udp,dhcp,43.508035,1500,0,S0,-,-,0,D,5,1640,0,0,
1590507214,CPUZ5P2ZBA2eY5nnv8,192.168.0.108,34120,159.226.89.26,80,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,
1590507217,Ca2ERu3K9snOTPs2Ug,192.168.0.108,51392,31.13.87.5,443,tcp,-,0.004528,39,39,OTH,-,-,0,DdA,2,143,1,91,
1590507218,CUr25pPriGX7E359a,192.168.0.108,34830,31.13.87.8,443,tcp,-,0.00452,39,39,OTH,-,-,0,DdA,2,143,1,91,
1590507219,CHscpD1x0nRtns0FJi,192.168.0.108,44180,172.217.160.74,443,tcp,-,0.006961,39,39,OTH,-,-,0,DdA,2,143,1,91,
1590507219,CSdXek17rj1KLjcW9,192.168.0.108,34534,172.217.27.138,443,tcp,-,0.004904,39,0,RSTRH,-,-,0,Dr,1,91,1,40,
1590507220,CR8gJIvSzkavsTRjd,192.168.0.108,51550,172.217.24.3,443,tcp,-,0.004554,39,39,OTH,-,-,0,DdA,2,143,1,91,
1590507220,CBsfub1GRQP70AZct1,192.168.0.108,52126,13.35.7.68,443,tcp,-,0.004491,46,46,OTH,-,-,0,DdA,2,150,1,98,
1590507220,C6quCecVhvroVAgY9,192.168.0.108,51402,31.13.87.5,443,tcp,-,0.004434,39,39,OTH,-,-,0,DdA,2,143,1,91,
1590507221,C5O713QU4FB0VIKmd,192.168.0.108,43718,209.197.3.15,443,tcp,-,0.03121,39,39,OTH,-,-,0,DdA,2,143,1,91,
1590507221,C29cml3SmGic6meGGg,192.168.0.108,45270,104.26.11.240,443,tcp,-,0.00388,39,39,OTH,-,-,0,DdA,2,119,1,79,
1590507230,ClqWAd2w5tc0utxM42,192.168.0.108,8,8.8.8.8,0,icmp,-,7.016609,448,504,OTH,-,-,0,-,8,672,9,756,
1590507231,CLBaKv2s5uPB5BtuY5,192.168.0.108,34110,159.226.89.26,80,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,
1590507231,CYChzkFpbEhDGwjLc,192.168.0.108,34106,159.226.89.26,80,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,
1590507231,CGEfrm4lHnT45dstsl,192.168.0.108,34108,159.226.89.26,80,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,
