"@stream","@system","@proc","ts","uid","id_orig_h","id_orig_p","id_resp_h","id_resp_p","proto","service","duration","orig_bytes","resp_bytes","conn_state","missed_bytes","history","orig_pkts","orig_ip_bytes","resp_pkts","resp_ip_bytes","orig_l2_addr","resp_l2_addr"
"conn","bobs.bigwheel.local","zeek","1588206763.90258","C9X2Ks12J3nPNlXsW","10.0.1.6","138","10.0.1.255","138","udp","","","","","S0","0","D","1","229","0","0","00:0d:3a:13:e3:69","ff:ff:ff:ff:ff:ff"
"conn","bobs.bigwheel.local","zeek","1588206823.656936","CxjKyD10WLeENdmeG4","10.0.1.6","56837","10.0.0.4","53","udp","dns","4.11504602432251","164","261","SF","0","Dd","4","276","1","289","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206894.195274","CuHN2h3vKY4rZT7Jrj","10.0.1.6","57027","10.0.0.4","389","tcp","","0.0035037994384765625","158","386","RSTR","0","ShADdFar","5","370","4","558","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206894.199245","CdVi552XqCuoEQr5lb","10.0.1.6","57028","10.0.0.4","389","tcp","","0.009999990463256836","2351","6019","RSTR","0","ShADdaFr","9","873","8","6351","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206894.209659","CHpMEepAn5YxzmBli","10.0.1.6","57029","10.0.0.4","389","tcp","","0.3798689842224121","7233","16107","RSTR","0","ShADadtFr","22","2943","24","18521","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206891.727231","CVpcvo2enrCAnDqcDa","10.0.1.6","58829","10.0.0.4","53","udp","dns","0.0013799667358398438","90","158","SF","0","Dd","1","118","1","186","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206891.729114","CQj0NS9SgO3Pi4979","10.0.1.6","52350","10.0.0.4","53","udp","dns","0.0018558502197265625","59","127","SF","0","Dd","1","87","1","155","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206891.731235","CmnpCcaweuFm8TKt2","10.0.1.6","137","10.0.1.255","137","udp","dns","1.5173280239105225","150","0","S0","0","D","3","234","0","0","00:0d:3a:13:e3:69","ff:ff:ff:ff:ff:ff"
"conn","bobs.bigwheel.local","zeek","1588206894.285716","CYrHyl4jy48dVA2rZ8","10.0.1.6","64562","10.0.0.4","53","udp","dns","0.0012049674987792969","53","110","SF","0","Dd","1","81","1","138","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206894.130204","CzUc9syGEsRry0zWl","10.0.1.6","57026","10.0.0.4","445","tcp","gssapi,smb,krb,dce_rpc","10.736752986907959","20809","16305","RSTO","0","ShADdatR","126","22734","125","21701","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206894.115837","CV7QKR1iniWoOGntdj","10.0.1.6","57024","10.0.0.4","135","tcp","dce_rpc","12.411231994628906","328","280","SF","0","ShADdtFaf","7","632","6","704","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206894.120412","ChKSSW69C5g1bfSuc","10.0.1.6","57025","10.0.0.4","49667","tcp","dce_rpc","12.40674090385437","462","472","SF","0","ShADdtFaf","7","766","6","1068","00:0d:3a:13:e3:69","12:34:56:78:9a:bc"
"conn","bobs.bigwheel.local","zeek","1588206926.038794","CW9PdT3NTrVDEDF12l","10.0.1.4","60807","10.0.1.6","445","tcp","gssapi,smb,krb","10.308274984359741","527368","1617","RSTO","297780","ShADdaGR","31","230840","25","2629","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588206925.606391","CE5Tb74JHZJJsCpgH8","10.0.1.4","60803","10.0.1.6","445","tcp","gssapi","10.740680932998657","4261160","3871","RSTO","1673240","ShADdaGGR","276","2598972","81","7123","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588206926.036974","CTE5lY2RVWMDMVniW7","10.0.1.4","60805","10.0.1.6","445","tcp","gssapi,smb,krb","10.310121059417725","2084","947","RSTO","0","ShADdaR","8","2416","5","1159","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
"conn","bobs.bigwheel.local","zeek","1588206926.037337","CyDpJw17I2hHxNDvK2","10.0.1.4","60806","10.0.1.6","445","tcp","gssapi,smb,krb","10.30993390083313","527300","1619","RSTO","60974","ShADdaGR","61","468778","25","2631","fc:bd:67:e1:a9:c1","00:0d:3a:13:e3:69"
