epoch,accuracy,loss
0,0.9843,0.01579027341094843
1,0.9954,0.004583130904292148
2,0.99545,0.004573203049669985
3,0.99555,0.004439820785782018
4,0.9955,0.004512441943338956
5,0.9955,0.0044545044739652435
6,0.9956,0.004399011538789104
7,0.9956,0.004397891266008785
8,0.9956,0.0043996725399267685
9,0.99545,0.004530450247334734
10,0.99525,0.004586189626930927
11,0.9956,0.004432340531902437
12,0.99555,0.004450880787108282
13,0.9956,0.004413052073790657
14,0.9956,0.004397588410283664
15,0.9956,0.004379836741705065
16,0.99555,0.0043843138121320725
